SAMPID,region,sex
GTEX-12ZZW-2926-SM-5LZUP,Cortex,Male
GTEX-12ZZX-0011-R10a-SM-AHZMR,Frontal Cortex,Female
GTEX-12ZZX-0011-R10b-SM-5DUWK,Frontal Cortex,Female
GTEX-12ZZX-0011-R11a-SM-5DUVJ,Cerebellar Hemi.,Female
GTEX-12ZZX-0011-R1a-SM-5EQ6B,Hippocampus,Female
GTEX-12ZZX-0011-R2a-SM-5EGLG,Substantia Nigra,Female
GTEX-12ZZX-0011-R3b-SM-5EGLH,Ant. Cing. Ctx,Female
GTEX-12ZZX-0011-R5a-SM-5HL89,Caudate,Female
GTEX-12ZZX-0011-R6a-SM-5HL8L,Nucleus Accumbens,Female
GTEX-12ZZX-0011-R7b-SM-5DUVV,Putamen,Female
GTEX-12ZZX-0011-R8a-SM-5DUW8,Hypothalamus,Female
GTEX-12ZZX-2826-SM-5BC6K,Cerebellum,Female
GTEX-12ZZX-2926-SM-5GCOQ,Cortex,Female
GTEX-12ZZX-2926-SM-CYKV2,Cortex,Female
GTEX-12ZZY-0011-R10b-SM-5HL7W,Frontal Cortex,Male
GTEX-12ZZY-0011-R5a-SM-5EGL9,Caudate,Male
GTEX-12ZZY-0011-R6b-SM-5EGLA,Nucleus Accumbens,Male
GTEX-12ZZY-0011-R7a-SM-5EGLB,Putamen,Male
GTEX-12ZZY-2926-SM-5DUXO,Cerebellum,Male
GTEX-12ZZY-3026-SM-5GCOU,Cortex,Male
GTEX-12ZZZ-0011-R10a-SM-5P9HC,Frontal Cortex,Male
GTEX-12ZZZ-0011-R10a-SM-AHZ6M,Frontal Cortex,Male
GTEX-12ZZZ-0011-R11a-SM-5EGLC,Cerebellar Hemi.,Male
GTEX-12ZZZ-0011-R3b-SM-5DUXK,Ant. Cing. Ctx,Male
GTEX-12ZZZ-0011-R4b-SM-5DUV7,Amygdala,Male
GTEX-12ZZZ-0011-R5a-SM-5EQ4M,Caudate,Male
GTEX-12ZZZ-0011-R6b-SM-5EQ5B,Nucleus Accumbens,Male
GTEX-12ZZZ-0011-R7b-SM-5EGLE,Putamen,Male
GTEX-12ZZZ-3026-SM-5BC67,Cortex,Male
GTEX-12ZZZ-3126-SM-5LZU6,Cerebellum,Male
GTEX-13112-0011-R1b-SM-5HL7K,Hippocampus,Male
GTEX-13112-0011-R3b-SM-5HL9L,Ant. Cing. Ctx,Male
GTEX-13112-0011-R4b-SM-5DUXL,Amygdala,Male
GTEX-13112-0011-R5b-SM-5DUV8,Caudate,Male
GTEX-13112-0011-R6b-SM-5DUVK,Nucleus Accumbens,Male
GTEX-13112-0011-R7b-SM-5DUVW,Putamen,Male
GTEX-13112-0011-R8b-SM-664OV,Hypothalamus,Male
GTEX-13112-2926-SM-5DUWT,Cerebellum,Male
GTEX-1313W-0011-R10b-SM-5DUXA,Frontal Cortex,Female
GTEX-1313W-0011-R11a-SM-5DUXN,Cerebellar Hemi.,Female
GTEX-1313W-0011-R1b-SM-5EQ4A,Hippocampus,Female
GTEX-1313W-0011-R2a-SM-5EGLF,Substantia Nigra,Female
GTEX-1313W-0011-R3a-SM-5EGLI,Ant. Cing. Ctx,Female
GTEX-1313W-0011-R4b-SM-5KLZV,Amygdala,Female
GTEX-1313W-0011-R5b-SM-5L3EP,Caudate,Female
GTEX-1313W-0011-R6a-SM-5K7XO,Nucleus Accumbens,Female
GTEX-1313W-0011-R7b-SM-5DUWL,Putamen,Female
GTEX-1313W-0011-R8a-SM-5DUVM,Hypothalamus,Female
GTEX-1313W-3026-SM-5LZUZ,Cerebellum,Female
GTEX-1313W-3126-SM-5LZUI,Cortex,Female
GTEX-131XH-0011-R10a-SM-5EGLJ,Frontal Cortex,Male
GTEX-131XH-0011-R11a-SM-5EGLN,Cerebellar Hemi.,Male
GTEX-131XH-0011-R1a-SM-5DUWA,Hippocampus,Male
GTEX-131XH-0011-R2b-SM-5DUVY,Substantia Nigra,Male
GTEX-131XH-0011-R3b-SM-5DUWM,Ant. Cing. Ctx,Male
GTEX-131XH-0011-R4b-SM-5DUWB,Amygdala,Male
GTEX-131XH-0011-R6a-SM-5KM2G,Nucleus Accumbens,Male
GTEX-131XH-0011-R8a-SM-5EGLL,Hypothalamus,Male
GTEX-131XH-2926-SM-5LZU4,Cerebellum,Male
GTEX-131XW-0011-R10a-SM-5DUVA,Frontal Cortex,Female
GTEX-131XW-0011-R11a-SM-5DUV9,Cerebellar Hemi.,Female
GTEX-131XW-0011-R6b-SM-5K7XY,Nucleus Accumbens,Female
GTEX-131XW-0011-R8a-SM-5DUWY,Hypothalamus,Female
GTEX-131XW-0011-R9a-SM-5N9EO,Spinal Cord,Female
GTEX-131XW-3126-SM-5LZUC,Cortex,Female
GTEX-131YS-0011-R10b-SM-5EQ5N,Frontal Cortex,Female
GTEX-131YS-0011-R11b-SM-5EGLM,Cerebellar Hemi.,Female
GTEX-131YS-0011-R1a-SM-5DUXC,Hippocampus,Female
GTEX-131YS-0011-R3b-SM-5DUXB,Ant. Cing. Ctx,Female
GTEX-131YS-0011-R4a-SM-5DUVL,Amygdala,Female
GTEX-131YS-0011-R5b-SM-5K7YB,Caudate,Female
GTEX-131YS-0011-R7a-SM-5IJDA,Putamen,Female
