gene,region,n_f,n_m,mean_md,ci_lo,ci_hi,ci_width,bimod,skewness,crosses_zero
GAD1,Frontal Cortex,56,153,-0.35352652188303935,-0.7665092318551967,0.07072019518024053,0.8372294270354372,0.333277550294565,0.007041119595632046,1
GAD1,Cortex,74,181,-0.2985269541831758,-0.5893728346571018,-0.024867191893676862,0.564505642763425,0.3425794661068005,-0.14197862955326726,0
GAD1,Caudate,63,183,-0.21102131234399077,-0.6650934010841121,0.2395892377486545,0.9046826388327666,0.3476002585973512,-0.032393035690514646,1
GAD1,Putamen,49,156,-0.23273175598233115,-0.7732384009326471,0.26803391930505976,1.0412723202377068,0.3199663091075711,-0.05441649674621802,1
GAD1,Nucleus Accumbens,64,182,-0.19608922735711135,-0.6564417709633142,0.2696855017725035,0.9261272727358177,0.33179925756637624,0.024101399277061127,1
GAD1,Cerebellum,67,174,-0.20865633771015388,-0.48939031858780463,0.04866162504298193,0.5380519436307866,0.33463209463344856,-0.15736671501425847,1
GAD1,Cerebellar Hemi.,58,157,-0.4064935407673164,-0.8422399167419613,0.01985677309572651,0.8620966898376878,0.3387963143363938,-0.026056561706456337,1
GAD1,Substantia Nigra,38,101,-0.29122875175167146,-0.7288031133701787,0.17477035240710126,0.9035734657772799,0.30851699947274164,0.09961805531432348,1
GAD1,Spinal Cord,57,102,0.0770872548710862,-0.381019815338589,0.5376247856583857,0.9186446009969746,0.3502651246771502,0.011028475202615795,1
HTR2B,Hypothalamus,55,147,0.05347032006242779,-0.011542346162028188,0.12166397793267993,0.13320632409470812,0.3276647829781058,0.08153504624939245,1
HTR2B,Amygdala,45,107,0.04848517510851215,-0.0030310105867925752,0.10210914190894463,0.1051401524957372,0.3270633167754106,0.05441869392197743,1
HTR2B,Hippocampus,54,143,0.03888091430077969,-0.04124020263877311,0.13448269027204549,0.1757228929108186,0.37036611993503665,0.38845496478731834,1
HTR2B,Ant. Cing. Ctx,48,128,-0.0016821071055203927,-0.05532778760048132,0.064647739966336,0.11997552756681731,0.34994652456289055,0.3609152200573341,1
HTR2B,Frontal Cortex,56,153,0.02125378852267928,-0.03178430981173893,0.07912270076970028,0.1109070105814392,0.3583276111142937,0.1487099795792722,1
HTR2B,Cortex,74,181,0.0009899866147150837,-0.04009985563235892,0.04370379664808275,0.08380365228044168,0.33632533414223287,0.1061936683190134,1
HTR2B,Caudate,63,183,0.006923925470546398,-0.035913425645135666,0.05039671984325139,0.08631014548838706,0.32528871151050726,0.03779664280150306,1
HTR2B,Putamen,49,156,0.018818874389576478,-0.04423309392540878,0.08696197090623067,0.13119506483163945,0.3323166723851685,0.16366699785723582,1
HTR2B,Nucleus Accumbens,64,182,-0.004353962569829088,-0.04202904224134367,0.034792719565599484,0.07682176180694315,0.32942224158043926,0.10716195554768566,1
HTR2B,Cerebellum,67,174,0.004133152036051439,-0.045858180743645394,0.05436016091747044,0.10021834166111583,0.3320598909604147,0.06295585327584485,1
HTR2B,Cerebellar Hemi.,58,157,0.023835017068255825,-0.024476568539231303,0.07592400413238624,0.10040057267161755,0.3581017162845964,0.1287486460919281,1
HTR2B,Substantia Nigra,38,101,-0.027140801704679297,-0.09122476758721898,0.04380865049961418,0.13503341808683317,0.3287370856326301,0.12219609688671274,1
HTR2B,Spinal Cord,57,102,0.00045888394580539927,-0.07907605368315199,0.08516937252346585,0.16424542620661783,0.3403733259593375,0.08872068173377655,1
PER2,Hypothalamus,55,147,0.00731611484524638,-0.20762105969010056,0.22420387303318273,0.43182493272328326,0.31804883749182605,0.0897097355533549,1
PER2,Amygdala,45,107,0.025261850335060402,-0.19359880941562232,0.23395937290673732,0.42755818232235965,0.3036500128365954,0.03169849379436822,1
PER2,Hippocampus,54,143,-0.07115427836776497,-0.283602903594457,0.15085201398746767,0.43445491758192467,0.3253675469964192,0.09107967002808101,1
PER2,Ant. Cing. Ctx,48,128,-0.10126953345207763,-0.29084845665279785,0.09225775677951358,0.38310621343231144,0.33992577220731635,0.08662635638833968,1
PER2,Frontal Cortex,56,153,-0.03256434010435082,-0.22179837573842118,0.16179855202913,0.38359692776755117,0.3315338303768218,-0.009628132282636436,1
PER2,Cortex,74,181,-0.09576906853213293,-0.23191297688716375,0.04821127821356682,0.2801242551007306,0.3213580759793998,0.10457403751908079,1
PER2,Caudate,63,183,-0.02151215004818108,-0.1903887981620283,0.1511655069547118,0.3415543051167401,0.33363538760741707,0.08679702163284793,1
PER2,Putamen,49,156,0.014465894781581414,-0.18584968304683244,0.21627475204142,0.40212443508825246,0.3177864436086989,0.03164637912071007,1
PER2,Nucleus Accumbens,64,182,0.0005522264778450657,-0.19365064758324638,0.19522727772593748,0.38887792530918386,0.33731790076445023,-0.04129584413792275,1
PER2,Cerebellum,67,174,0.00036322035224694947,-0.13276038495314954,0.1314122929179816,0.26417267787113113,0.3388004071529242,-0.028798415052440542,1
PER2,Cerebellar Hemi.,58,157,-0.1773011185089645,-0.40374607951549374,0.027706281585832892,0.4314523611013266,0.327056789503226,-0.1629805615991104,1
PER2,Substantia Nigra,38,101,-0.03917982265171863,-0.20018014835593195,0.1320479583692551,0.33222810672518704,0.33213207436319037,0.06700043387248532,1
PER2,Spinal Cord,57,102,-0.0396724514483651,-0.22503201764758188,0.15841969783011658,0.38345171547769846,0.37223806946964094,0.07536260929288241,1
OXTR,Hypothalamus,55,147,-0.1660442965560951,-0.4216710643107927,0.08870274831193106,0.5103738126227237,0.3354644641244521,0.011708032701647024,1
OXTR,Amygdala,45,107,-0.06980695843573928,-0.290580100225779,0.14116197753871917,0.4317420777644982,0.36029829740393116,-0.01637019355543895,1
OXTR,Hippocampus,54,143,-0.09019768103452605,-0.3076658411205501,0.14180317840613257,0.4494690195266827,0.33256480605413535,0.05859004498837781,1
OXTR,Ant. Cing. Ctx,48,128,-0.20071391521313076,-0.4641312691388821,0.07536880837569031,0.5395000775145724,0.33734540585857686,0.07687939605882113,1
OXTR,Frontal Cortex,56,153,-0.06277155405271465,-0.29186300224659695,0.16832240111866006,0.46018540336525704,0.3192895538746047,0.10281337383927747,1
OXTR,Cortex,74,181,-0.11498445948962357,-0.2702617141259378,0.04336360799376806,0.31362532211970584,0.3403251109702425,0.032681624793218914,1
OXTR,Caudate,63,183,-0.16042495940512355,-0.48051987337302876,0.16237537991413137,0.6428952532871601,0.32822503102457257,0.0562564559581053,1
OXTR,Putamen,49,156,0.03138173399027683,-0.2915103700088812,0.3576996515948756,0.6492100216037568,0.3072311766362769,0.03724320480418982,1
OXTR,Nucleus Accumbens,64,182,-0.13597537454059408,-0.40356819767498714,0.13675017902325864,0.5403183766982458,0.3176284974797022,0.061964066100671046,1
OXTR,Cerebellum,67,174,0.013935623829917188,-0.06993239084122883,0.09748408559834691,0.16741647643957575,0.3353471759996094,0.007300837439330971,1
OXTR,Cerebellar Hemi.,58,157,-0.03116739469483455,-0.14656653891871319,0.09194337286272142,0.2385099117814346,0.30839766991852474,0.16907719648974373,1
OXTR,Substantia Nigra,38,101,-0.07622470560090204,-0.5170381360762024,0.3845880504242486,0.901626186500451,0.32499899338512833,0.11406392146512401,1
OXTR,Spinal Cord,57,102,0.08368424185103092,-0.24071627486698816,0.41988136661487396,0.6605976414818622,0.3375667376940505,0.06466659275757929,1
DRD3,Hypothalamus,55,147,-0.03163169280472574,-0.12566657781507215,0.0698710129593496,0.19553759077442173,0.3245042139543551,0.13967319720301202,1
DRD3,Amygdala,45,107,0.0101756119604092,-0.0032850034910492775,0.026069472115259548,0.029354475606308827,0.3516195111155242,0.28473694125912163,1
DRD3,Hippocampus,54,143,-0.00853682348570381,-0.01778099541901458,9.061175684369411e-05,0.017871607175858274,0.337991568545803,-0.0863730938213132,1
DRD3,Ant. Cing. Ctx,48,128,0.005733439141900923,-0.016963799272658717,0.030539990876306405,0.04750379014896512,0.3363743071515088,0.16134099655139178,1
DRD3,Frontal Cortex,56,153,0.008694373425204144,-0.007230336813748109,0.02577255462064631,0.03300289143439442,0.33669658744120723,0.10736600230584284,1
